pref_name,station_name,line_name,station_lat,station_lon,passenger_2017,passenger_2018,passenger_2019
埼玉県,大宮,複数ライン,35.906256,139.623625,689999,702577,700854
神奈川県,いずみ中央,相鉄いずみ野線,35.4155,139.487104,16016,16195,16257
神奈川県,いずみ野,相鉄いずみ野線,35.429416,139.495213,13969,13962,13752
千葉県,おゆみ野,京成千原線,35.549997,140.16629,5031,5105,5221
東京都,お台場海浜公園,ゆりかもめ,35.629899,139.778736,16944,17165,16899
東京都,お花茶屋,京成本線,35.747582,139.840225,33442,33781,34319
神奈川県,かしわ台,相鉄本線,35.466798,139.416107,18990,18811,18665
千葉県,くぬぎ山,新京成線,35.782413,139.975657,7331,7324,7297
神奈川県,こどもの国,こどもの国線,35.558401,139.486375,11841,11750,11458
埼玉県,さいたま新都心,ＪＲ京浜東北線,35.89384,139.633569,100138,111102,111102
神奈川県,さがみ野,相鉄本線,35.47152,139.429133,37893,37847,37399
東京都,すずかけ台,東急田園都市線,35.516933,139.481488,11630,11687,11623
埼玉県,せんげん台,東武スカイツリーライン(浅草－東武動物公園),35.935755,139.774583,59513,58651,57414
神奈川県,たまプラーザ,東急田園都市線,35.577401,139.558618,83397,83922,83136
千葉県,ちはら台,京成千原線,35.533805,140.170236,5825,5824,5948
埼玉県,つきのわ,東武東上線,36.043459,139.34542,4980,5162,5352
神奈川県,つきみ野,東急田園都市線,35.510323,139.458046,10804,10648,10537
東京都,つくし野,東急田園都市線,35.527599,139.485126,11954,11799,11544
東京都,つつじケ丘,京王線,35.658114,139.575223,0,0,0
東京都,とうきょうスカイツリー,東武スカイツリーライン(浅草－東武動物公園),35.710335,139.809063,0,0,0
東京都,ときわ台,東武東上線,35.758661,139.689682,48527,48647,47894
神奈川県,はるひ野,小田急多摩線,35.618784,139.464596,9865,10068,10048
東京都,ひばりケ丘,西武池袋線(池袋－飯能),35.751576,139.545527,0,0,0
埼玉県,ひろせ野鳥の森,秩父鉄道,36.146225,139.351804,1201,1218,1163
埼玉県,ふじみ野,東武東上線,35.860814,139.523108,67250,67543,66843
埼玉県,みずほ台,東武東上線,35.838233,139.550856,41134,41399,41146
千葉県,みつわ台,千葉都市モノレール２号線,35.638682,140.134928,3533,3516,3503
千葉県,みどり台,京成千葉線,35.624794,140.09771,7524,7767,7837
神奈川県,みなとみらい,みなとみらい線,35.457971,139.632368,84887,88175,90677
千葉県,みのり台,新京成線,35.789273,139.929021,8804,8785,8810
東京都,めじろ台,京王高尾線,35.643362,139.307719,17804,17312,16780
神奈川県,ゆめが丘,相鉄いずみ野線,35.405613,139.482382,2223,2198,2207
千葉県,スポーツセンター,千葉都市モノレール２号線,35.643264,140.116096,5125,5011,4736
神奈川県,センター北,横浜市営地下鉄グリーンライン,35.553237,139.578479,58701,61011,60889
神奈川県,センター南,横浜市営地下鉄グリーンライン,35.54546,139.574591,59199,59840,58579
埼玉県,ソシオ流通センター,秩父鉄道,36.136506,139.42438,689,693,633
東京都,テレコムセンター,ゆりかもめ,35.617678,139.77957,13744,13475,12140
千葉県,ベイサイド・ステーション,ディズニーリゾートライン(ベイサイド－リゾートゲートウェイ),35.627957,139.876506,0,0,0
千葉県,ユーカリが丘,京成本線,35.721757,140.156367,23727,23559,23106
千葉県,リゾートゲートウェイ・ステーション,ディズニーリゾートライン(リゾートゲートウェイ－ベイサイド),35.635178,139.885116,0,0,0
埼玉県,一ノ割,東武スカイツリーライン(浅草－東武動物公園),35.964141,139.766304,18469,18440,18063
東京都,一之江,都営地下鉄新宿線,35.686006,139.882892,43548,44627,44708
埼玉県,一本松,東武越生線,35.940386,139.370284,4258,4409,4451
東京都,一橋学園,西武多摩湖線,35.722245,139.480089,21663,21526,21189
千葉県,七光台,東武アーバンパークライン(大宮－柏),35.970808,139.852798,7204,7119,7128
埼玉県,七里,東武アーバンパークライン(大宮－柏),35.936281,139.665759,20556,20547,20392
神奈川県,七里ケ浜,江ノ島電鉄,35.306206,139.509912,0,0,0
東京都,万願寺,多摩モノレール,35.671,139.420153,4034,4093,8108
神奈川県,三ツ境,相鉄本線,35.467661,139.502656,58905,58418,57806
神奈川県,三ツ沢上町,横浜市営地下鉄ブルーライン,35.476579,139.605424,16873,17264,16736
神奈川県,三ツ沢下町,横浜市営地下鉄ブルーライン,35.476579,139.615424,12506,12614,12592
東京都,三ノ輪,東京メトロ日比谷線,35.72936,139.791231,41249,42833,43601
東京都,三ノ輪橋,都電荒川線,35.732193,139.791397,3266,3266,3266
千葉県,三咲,新京成線,35.749113,140.028627,13752,14071,13992
埼玉県,三峰口,秩父鉄道,35.960099,138.977787,426,384,360
神奈川県,三崎口,京急久里浜線,35.17825,139.633296,17854,17424,16683
東京都,三河島,ＪＲ常磐線快速,35.733304,139.777676,22186,23016,23016
神奈川県,三浦海岸,京急久里浜線,35.18836,139.653433,11681,11458,10981
